Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Kevin Padlo,- - -,26,57,0,2,3,0,0.052631578,0.333333333,0.055555555,0.171428571,0.111111111,0.157894736,0.166666666,0.148596157,,-7.155844745,-0.123401369,-7.533785231,-1.864342541,-0.776114534
Korey Lee,- - -,28,76,1,4,7,0,0.065789473,0.315789473,0.070422535,0.130434782,0.098591549,0.157894736,0.169014084,0.15171276,,-12.51763839,-0.158574103,-10.27964594,0.084677041,-0.779482726
Michael Papierski,- - -,39,103,1,7,4,0,0.097087378,0.252427184,0.043956044,0.1875,0.142857142,0.227722772,0.186813186,0.197458228,,17.47359097,-1.086920684,-10.96281675,-0.015175074,-0.787106476
Riley Adams,- - -,139,433,11,35,41,0,0.087759815,0.302540415,0.166666667,0.308641975,0.223958333,0.30787037,0.390625,0.306675461,,91.73242011,-1.38059671,-5.107166518,-16.89815676,-0.79386258
Seth Beer,ARI,43,136,2,8,12,0,0.088235294,0.25,0.083333333,0.270588235,0.208333333,0.294117647,0.291666666,0.263910985,,65.70434411,-2.034439919,-7.27451637,-4.841622949,-0.795754966
Phillip Evans,PIT,76,247,5,23,16,1,0.113360323,0.214574898,0.093457944,0.25,0.205607476,0.31174089,0.29906542,0.278108702,,69.8057639,-0.02588631,-9.520337594,-6.727469921,-0.795885358
Tyler Soderstrom,OAK,35,112,3,8,6,0,0.071428571,0.330357142,0.097087379,0.222222222,0.165048543,0.232142857,0.262135922,0.223340807,,40.34452421,-2.169241823,-10.20364141,-1.768507,-0.811196556
Erik González,- - -,87,270,2,21,24,3,0.044444444,0.192592592,0.06225681,0.274509803,0.225680933,0.259259259,0.287937743,0.241359719,,46.71423266,-1.647740213,-19.6989949,2.473343045,-0.818710111
Ka'ai Tom,- - -,49,134,2,10,12,1,0.126865671,0.268656716,0.09174312,0.175675675,0.137614678,0.276119402,0.229357798,0.237082727,,43.74071369,-0.506098137,-9.958135332,-2.872677993,-0.834505442
Casey Schmitt,SFG,88,271,3,26,28,2,0.047970479,0.236162361,0.097165992,0.256830601,0.202429149,0.253731343,0.299595141,0.24465537,,52.77719539,-2.007516526,-17.8839459,0.259689927,-0.838417367
Luis García,WSN,273,1062,21,108,114,12,0.042372881,0.173258003,0.132602193,0.295426452,0.259222333,0.288679245,0.391824526,0.292059922,,82.64098711,-6.259015271,-29.09886273,-15.40845931,-0.855303181
Jake Bauers,- - -,194,570,15,52,46,9,0.096491228,0.296491228,0.129666012,0.271341463,0.2043222,0.282952548,0.333988212,0.27269187,,73.22483422,-2.381630556,-20.98626723,-7.240739822,-0.871436139
Jermaine Palacios,MIN,30,77,2,8,6,0,0.051948051,0.35064935,0.085714286,0.186046511,0.142857142,0.184210526,0.228571428,0.183812948,,13.93750569,0.050331039,-7.406820607,-3.422729075,-0.879537186
JaCoby Jones,DET,36,105,2,9,9,2,0.047619047,0.4,0.08,0.267857142,0.17,0.209523809,0.25,0.203644195,,23.94331792,-0.800251359,-10.57777118,-1.892376095,-0.889701396
Phil Gosselin,- - -,138,450,7,46,49,4,0.057777777,0.233333333,0.088305489,0.305194805,0.241050119,0.291111111,0.329355608,0.274195761,,69.93422489,-0.321015888,-16.12805023,-7.829065099,-0.903171777
Pat Valaika,BAL,91,281,5,17,25,1,0.056939501,0.270462633,0.088803089,0.259668508,0.2007722,0.25,0.289575289,0.23842958,,45.54156692,-1.21440664,-19.95026055,1.309197977,-0.903811319
Jose Rojas,LAA,83,241,6,27,16,2,0.062240663,0.286307053,0.151785714,0.241610738,0.1875,0.244813278,0.339285714,0.254639671,,56.6575706,-1.350255577,-13.43823353,-3.444262087,-0.905294967
Juan Lagares,LAA,132,389,6,43,38,1,0.035989717,0.233933161,0.124661247,0.285714285,0.227642276,0.257142857,0.352303523,0.262755035,,62.50819877,-0.978542949,-18.36864253,-3.680040091,-0.913660007
Jordyn Adams,LAA,17,40,0,1,1,1,0,0.4,0,0.208333333,0.128205128,0.125,0.128205128,0.110298872,,-44.42342132,-0.684216049,-7.630982704,-3.105053991,-0.93287789
Robel García,HOU,47,117,1,8,8,0,0.068376068,0.358974358,0.056603773,0.234375,0.150943396,0.215517241,0.207547169,0.194274125,,18.83560577,-0.37187293,-11.998492,-1.370011985,-0.938556199
Zack Collins,- - -,116,345,8,34,37,1,0.130434782,0.324637681,0.138513514,0.282485875,0.195945945,0.305232558,0.334459459,0.286909733,,81.34239875,-1.318964734,-8.911361299,-11.97818803,-0.946745028
Cristian Pache,- - -,153,400,6,33,31,3,0.06,0.28,0.105978261,0.232,0.173913043,0.228426395,0.279891304,0.226114953,,43.07452211,-2.158744143,-28.6631881,6.675591037,-0.952151582
Tyler Nevin,- - -,96,287,4,28,25,0,0.121951219,0.243902439,0.082987552,0.251461988,0.195020746,0.310104529,0.278008298,0.272967677,,74.36073641,-1.319738147,-9.686945733,-9.112649933,-0.966680303
Henry Davis,PIT,53,216,5,24,18,3,0.101851851,0.25,0.121052632,0.257575757,0.205263157,0.296296296,0.326315789,0.275678768,,67.99916039,-1.268451687,-9.843703704,-7.343100071,-0.980810627
Domingo Leyba,- - -,34,96,1,6,4,0,0.083333333,0.239583333,0.045977012,0.142857142,0.114942528,0.197916666,0.16091954,0.1722529,,1.997311175,-0.558182853,-12.27811724,-1.048668176,-1.008003585
Willie Calhoun,- - -,141,495,12,49,44,0,0.088888888,0.125252525,0.139013453,0.245989304,0.233183856,0.305050505,0.372197309,0.29635707,,86.61024029,-4.782470747,-12.65217118,-14.12195769,-1.01388291
Donovan Walton,- - -,49,147,3,15,15,1,0.034013605,0.210884353,0.151079136,0.209523809,0.179856115,0.213793103,0.330935251,0.235089505,,50.48374677,-0.261765635,-8.845418715,-5.985827167,-1.014881819
Mark Vientos,NYM,69,228,6,17,19,1,0.057017543,0.302631578,0.123809524,0.277372262,0.209523809,0.263157894,0.333333333,0.261739105,,66.19773732,-2.129578482,-11.57291017,-6.340346932,-1.02526067
Jahmai Jones,- - -,33,83,0,7,6,2,0.060240963,0.373493975,0.051948052,0.260869565,0.155844155,0.216867469,0.207792207,0.195044086,,16.0856857,0.143544144,-8.391587856,-4.696256077,-1.027257793
Travis Shaw,- - -,91,269,9,20,39,0,0.08921933,0.278810408,0.158995816,0.224358974,0.184100418,0.265917602,0.343096234,0.268094215,,65.51230122,-0.474548519,-12.27078949,-6.957475051,-1.049667049
Franchy Cordero,- - -,156,482,15,57,51,5,0.078838174,0.348547717,0.164383561,0.291828793,0.205479452,0.269311064,0.369863013,0.278323578,,72.71506587,3.216435021,-12.62681328,-13.68757892,-1.058512081
Kole Calhoun,- - -,210,747,22,68,86,4,0.073627844,0.270414993,0.139911634,0.265217391,0.212076583,0.277108433,0.351988217,0.277162123,,74.70642466,-0.958519395,-22.77757275,-11.68196098,-1.060528896
Robinson Chirinos,- - -,112,332,9,23,37,1,0.084337349,0.310240963,0.147260274,0.26519337,0.195205479,0.284848484,0.342465753,0.279898723,,78.45294212,-2.371821674,-10.24764496,-10.43974996,-1.064213843
Mike Moustakas,- - -,248,861,25,94,94,2,0.075493612,0.245063879,0.147668394,0.27686703,0.229274611,0.293844367,0.376943005,0.292071643,,77.41114567,-2.044444279,-25.59996453,-14.03133501,-1.067225859
Stephen Piscotty,OAK,114,327,10,26,30,3,0.067278287,0.293577981,0.140468227,0.266666666,0.207357859,0.269113149,0.347826086,0.269915411,,75.1362565,-1.640377791,-11.17801505,-10.16629994,-1.074265108
Cooper Hummel,- - -,76,227,3,22,17,5,0.110132158,0.321585903,0.120603015,0.241935483,0.165829145,0.26431718,0.28643216,0.250846973,,58.03662792,-0.197653505,-11.37246559,-6.762316074,-1.078530675
Didi Gregorius,PHI,166,640,14,52,73,4,0.059375,0.1609375,0.135738831,0.227848101,0.209621993,0.2671875,0.345360824,0.266423612,,65.02754177,3.638506644,-23.77448988,-8.512490034,-1.086105017
Sheldon Neuse,- - -,122,359,7,31,30,7,0.058495821,0.295264623,0.089285715,0.278026905,0.205357142,0.256267409,0.294642857,0.245913833,,59.96129056,-0.033618751,-16.87164069,-5.314822853,-1.091133897
Dominic Smith,- - -,345,1189,20,106,117,3,0.073170731,0.197645079,0.106641721,0.29368932,0.245088868,0.312867956,0.351730589,0.2936549,,84.92533963,-5.601990728,-27.67212633,-23.4343307,-1.100379366
Lenyn Sosa,CHW,55,183,6,14,14,0,0.010928961,0.256830601,0.135593221,0.2,0.175141242,0.183333333,0.310734463,0.209510196,,26.12367676,-1.050887837,-17.01750108,-0.456512988,-1.143759947
Cole Tucker,- - -,66,204,2,20,16,3,0.06862745,0.294117647,0.090425532,0.307086614,0.218085106,0.274509803,0.308510638,0.258333538,,57.03368782,0.371847342,-10.13521033,-7.959051982,-1.160784562
David Dahl,- - -,67,229,5,20,19,2,0.043668122,0.266375545,0.121495327,0.258278145,0.205607476,0.24122807,0.327102803,0.245345627,,50.60052014,-0.552801266,-14.41192556,-5.05414395,-1.163971408
Nick Senzel,CIN,242,857,18,107,73,16,0.078179696,0.186697782,0.105331599,0.273949579,0.235370611,0.300236406,0.34070221,0.284757487,,73.11227491,-0.020569895,-27.63531252,-12.73099193,-1.164388578
Carter Kieboom,WSN,80,315,9,34,28,0,0.088888888,0.25079365,0.125448029,0.25388601,0.207885304,0.292063492,0.333333333,0.275981655,,69.99318457,-2.501087483,-14.47293312,-7.872317232,-1.175587401
Michael Perez,- - -,117,370,13,30,35,1,0.078378378,0.272972972,0.147928994,0.174107142,0.153846153,0.224932249,0.301775147,0.232511701,,41.94454693,-0.949826872,-27.47986749,3.3173531,-1.19876647
Andrew Knizner,STL,223,690,15,74,64,2,0.08115942,0.224637681,0.114516129,0.262222222,0.214516129,0.292151162,0.329032258,0.276913054,,75.97650643,-4.27031578,-24.62472651,-10.57603425,-1.208467672
Alec Burleson,STL,121,396,9,37,38,3,0.07070707,0.136363636,0.136490251,0.251677852,0.233983286,0.293367346,0.370473537,0.290371307,,83.25004472,-4.634120001,-12.68276346,-13.05641615,-1.239103299
Zack Short,DET,169,435,13,39,55,8,0.112643678,0.285057471,0.139037433,0.215447154,0.176470588,0.266203703,0.315508021,0.256999506,,59.77414979,0.171059838,-20.96194977,-6.279405685,-1.245816242
Kurt Suzuki,LAA,123,406,10,27,31,0,0.066502463,0.179802955,0.117318436,0.228571428,0.20670391,0.282878411,0.324022346,0.270749566,,69.05236047,-4.33923488,-19.09685899,-6.671410084,-1.265656629
Gregory Polanco,PIT,107,382,11,38,36,14,0.094240837,0.272251308,0.145833333,0.257641921,0.208333333,0.282722513,0.354166666,0.275334735,,68.00293122,1.90345293,-13.65700696,-11.89768982,-1.273651734
Joe Panik,- - -,95,257,3,17,18,2,0.066147859,0.132295719,0.076271187,0.23,0.207627118,0.265625,0.283898305,0.244042283,,48.69641697,-1.988238636,-18.60873078,-2.816945765,-1.273766633
Willians Astudillo,- - -,94,271,8,22,25,1,0.014760147,0.055350553,0.122137404,0.225,0.236641221,0.258302583,0.358778625,0.266407918,,67.81165255,-3.89413145,-14.41171319,-7.377159365,-1.280997063
Oscar Colás,CHW,75,263,5,32,19,4,0.045627376,0.269961977,0.097959184,0.280701754,0.21632653,0.25670498,0.314285714,0.248920263,,52.46257603,1.431345835,-13.60272122,-8.562840223,-1.312737475
Jose Barrero,CIN,115,379,4,32,30,8,0.071240105,0.361477572,0.083333334,0.288461538,0.183908045,0.248021108,0.267241379,0.232531401,,37.54827415,1.837831494,-26.31259614,0.274701148,-1.375470943
Robinson Canó,- - -,33,104,1,5,4,0,0.038461538,0.240384615,0.04,0.189189189,0.15,0.182692307,0.19,0.16902422,,5.837350653,-1.770364321,-13.14816566,-3.660546944,-1.395761934
Michael Toglia,COL,76,272,6,28,21,2,0.069852941,0.345588235,0.138888889,0.269736842,0.186507936,0.246323529,0.325396825,0.251861857,,41.54111376,0.200703091,-19.21473385,-4.273469999,-1.432090152
Andrew Knapp,- - -,78,205,2,17,15,0,0.073170731,0.35609756,0.054347826,0.225225225,0.14673913,0.220588235,0.201086956,0.196096944,,18.48038693,1.959356153,-18.93624028,-2.147651009,-1.440212536
Austin Romine,- - -,79,198,4,15,14,0,0.03030303,0.343434343,0.08994709,0.247863247,0.174603174,0.204081632,0.264550264,0.206700751,,24.91290309,-1.81971272,-19.44633498,-1.21850419,-1.452912103
Isan Díaz,- - -,97,303,4,25,18,1,0.118811881,0.270627062,0.080152672,0.240223463,0.179389312,0.278145695,0.259541984,0.238426255,,46.04804776,0.145402329,-20.6137128,-4.216159876,-1.463586259
Maikel Franco,- - -,207,791,20,62,86,1,0.04045512,0.179519595,0.129679145,0.243243243,0.219251336,0.254108723,0.348930481,0.261713214,,63.33777239,-4.846584883,-39.50013583,-1.698339939,-1.465102433
Sandy León,- - -,140,350,4,25,22,0,0.074285714,0.32,0.070063694,0.255,0.175159235,0.245664739,0.245222929,0.223829285,,37.45357313,-4.484384894,-31.50781669,4.970842581,-1.505934868
Yoshi Tsutsugo,- - -,131,455,10,38,51,0,0.105494505,0.268131868,0.12,0.252747252,0.1975,0.281938325,0.3175,0.267398437,,65.83271276,-1.195093044,-19.33513347,-10.62683198,-1.521274934
Vidal Bruján,TBR,99,272,3,30,24,9,0.0625,0.242647058,0.064257028,0.197802197,0.156626506,0.217712177,0.220883534,0.201228858,,28.23727794,0.202999153,-22.64691356,-1.334562523,-1.526750437
Clint Frazier,- - -,118,339,5,34,19,7,0.144542772,0.292035398,0.104895105,0.274725274,0.192307692,0.31858407,0.297202797,0.284105421,,79.82463993,-2.549347535,-10.84379191,-16.2403639,-1.555287013
Jackie Bradley Jr.,- - -,309,911,11,79,73,9,0.062568605,0.261251372,0.099282297,0.230508474,0.17583732,0.237885462,0.275119617,0.229779301,,39.94783963,1.93360906,-64.52092976,10.71640827,-2.389714132
Hunter Dozier,KCR,302,1134,30,114,104,11,0.074955908,0.271604938,0.161978662,0.283880171,0.222114451,0.285714285,0.384093113,0.291335867,,81.54354115,-8.900553882,-33.87714166,-27.28953078,-2.403393204
Harold Castro,- - -,323,1048,11,96,115,2,0.038167938,0.205152671,0.086956522,0.332901554,0.270980788,0.298076923,0.35793731,0.285887226,,77.43526963,-2.893877932,-31.73956009,-27.24858224,-2.440798166
Miguel Cabrera,DET,330,1288,23,90,149,1,0.073757763,0.221273291,0.095034247,0.315068493,0.25599315,0.312888198,0.351027397,0.292074341,,85.19177621,-16.29547709,-38.55664848,-34.19383049,-3.040292242
