Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Rowdy Tellez,- - -,357,1258,59,126,171,2,0.093799682,0.213036565,0.203208556,0.240049751,0.22459893,0.30127186,0.427807486,0.311548798,,96.32550737,-10.67161974,-16.7161034,-30.15636015,-0.383608324
Colton Welker,COL,19,40,0,7,2,0,0.075,0.275,0.027027027,0.269230769,0.189189189,0.25,0.216216216,0.21477828,,16.16171772,-0.630802703,-4.900049228,-0.274493404,-0.383920512
Abraham Almonte,- - -,87,228,6,28,21,2,0.122807017,0.254385964,0.166666666,0.266666666,0.212121212,0.311403508,0.378787878,0.304162386,,88.23623932,-0.700451758,-4.006507215,-7.422988981,-0.384405131
Gerardo Parra,WSN,53,107,2,13,10,1,0.056074766,0.280373831,0.113402061,0.318181818,0.237113402,0.29245283,0.350515463,0.281889967,,73.86018746,-1.401463496,-4.962161302,-2.479106069,-0.385161493
Coco Montes,COL,18,41,1,3,3,0,0.048780487,0.292682926,0.131578947,0.24,0.184210526,0.243902439,0.315789473,0.247215457,,35.99182768,-0.153849673,-3.409599689,-1.863929108,-0.386403235
Andrew Young,ARI,58,104,6,13,15,0,0.057692307,0.432692307,0.274725275,0.31707317,0.208791208,0.298076923,0.483516483,0.331604754,,106.1264079,-1.461605334,-0.650479717,-6.768277034,-0.393026128
Scott Schebler,LAA,14,34,0,3,0,0,0,0.5,0.088235294,0.294117647,0.147058823,0.147058823,0.235294117,0.161266471,,-6.572164887,0.693154948,-3.743184156,-1.406788021,-0.399601961
Yolmer Sánchez,- - -,17,44,0,1,2,0,0.113636363,0.295454545,0,0.166666666,0.108108108,0.214285714,0.108108108,0.166169619,,-6.023880348,-0.931611705,-6.181193321,0.950198463,-0.402077649
Miguel Vargas,LAD,99,354,8,40,40,4,0.11299435,0.209039548,0.158415842,0.221238938,0.191419141,0.289772727,0.349834983,0.281423541,,76.72815579,0.92110277,-9.007875147,-6.780755222,-0.403313389
Colton Cowser,BAL,26,77,0,15,4,1,0.168831168,0.285714285,0.032786885,0.175,0.114754098,0.285714285,0.147540983,0.225954694,,39.27742751,0.646143824,-4.976311042,-1.729773045,-0.405896359
Mark Payton,- - -,32,49,0,5,1,0,0.122448979,0.224489795,0,0.21875,0.162790697,0.265306122,0.162790697,0.210330269,,26.66606412,-0.249508698,-4.582607828,-1.019397389,-0.407472611
Peyton Burdick,MIA,46,139,5,12,13,2,0.07913669,0.381294964,0.168,0.298507462,0.2,0.280575539,0.368,0.287454063,,81.72400915,0.259229651,-2.793799793,-5.968133003,-0.416601503
Jon Singleton,- - -,32,101,2,11,11,0,0.128712871,0.217821782,0.102272727,0.203125,0.170454545,0.277227722,0.272727272,0.253517805,,57.46640844,-0.576934654,-5.874998124,-1.753776357,-0.416764499
Cameron Maybin,NYM,9,33,0,2,0,1,0.09090909,0.363636363,0,0.0625,0.035714285,0.181818181,0.035714285,0.133274851,,-17.91680432,0.379464887,-4.574335598,-0.713801995,-0.418929042
Tommy La Stella,- - -,148,461,9,45,43,0,0.069414316,0.132321041,0.13064133,0.26197183,0.242280285,0.296296296,0.372921615,0.291140388,,86.07444822,-2.792397038,-10.45279986,-8.957612813,-0.420217544
Dustin Fowler,PIT,18,46,0,3,2,1,0.065217391,0.434782608,0.024390244,0.318181818,0.170731707,0.239130434,0.195121951,0.202457896,,20.63944056,-0.034225199,-4.681639852,-1.086143985,-0.423164196
Dominic Canzone,- - -,52,167,5,22,16,1,0.047904191,0.173652694,0.170886076,0.233870967,0.215189873,0.257485029,0.386075949,0.276777927,,75.19105955,-1.500013091,-6.514291261,-3.467403062,-0.4268304
Alan Trejo,COL,141,384,8,43,42,6,0.052083333,0.25,0.120448179,0.296875,0.235294117,0.279373368,0.355742296,0.276643124,,57.75191512,0.839398792,-19.31000828,1.764371976,-0.434690242
Chris Owings,- - -,59,143,1,15,5,3,0.118881118,0.356643356,0.120967742,0.319444444,0.193548387,0.295774647,0.314516129,0.271611868,,64.45640487,-0.253250623,-5.907875225,-2.950233012,-0.444034019
Skye Bolt,- - -,76,176,5,15,17,7,0.045454545,0.255681818,0.110429448,0.184210526,0.159509202,0.206896551,0.26993865,0.212111558,,36.51985374,1.886972026,-11.48850742,1.187042882,-0.44808281
Anthony Bemboom,- - -,36,100,1,6,3,0,0.09,0.29,0.055555556,0.216666666,0.155555555,0.232323232,0.211111111,0.207089213,,28.25034795,-0.091980601,-8.413648002,0.739807069,-0.454007295
Khalil Lee,NYM,13,20,1,3,4,0,0,0.65,0.2,0.166666666,0.1,0.1,0.3,0.165682501,,6.258151016,0.100000001,-2.397978363,-2.913612962,-0.464402861
Steven Souza Jr.,- - -,23,55,1,2,4,0,0.036363636,0.4,0.115384616,0.24137931,0.153846153,0.2,0.269230769,0.206021439,,27.62292372,-0.829529852,-5.576116712,-0.830388963,-0.469558387
Marwin Gonzalez,- - -,177,514,11,50,46,6,0.066147859,0.256809338,0.117391305,0.24375,0.19347826,0.266666666,0.310869565,0.258313546,,60.41370701,-3.022533897,-27.24305998,5.395901889,-0.471231924
Sebastián  Rivero,KCR,34,73,0,3,4,0,0.06849315,0.342465753,0.03030303,0.268292682,0.166666666,0.236111111,0.196969696,0.202618752,,19.7403386,0.044362849,-6.8494833,-0.185363978,-0.471352328
Kevan Smith,- - -,33,106,0,8,3,0,0.094339622,0.29245283,0.031578948,0.25,0.168421052,0.247619047,0.2,0.196026318,,17.559124,-0.068450398,-11.17859649,2.857609428,-0.476441057
Kean Wong,LAA,32,66,0,3,6,0,0.03030303,0.257575757,0.066666667,0.232558139,0.166666666,0.193548387,0.233333333,0.186904826,,10.75355084,-0.150125664,-7.361813367,0.334638186,-0.477897196
Jonah Bride,OAK,98,293,1,26,13,1,0.102389078,0.184300341,0.04,0.237373737,0.192,0.295532646,0.232,0.249866756,,62.08857658,-3.541674937,-16.45278038,2.149250016,-0.478808414
Matt Joyce,PHI,43,69,2,6,7,0,0.173913043,0.231884057,0.127272728,0.078947368,0.09090909,0.260869565,0.218181818,0.21868511,,32.40558723,-1.044492759,-6.982063006,-0.129148006,-0.480275642
Brett Wisely,SFG,51,131,2,10,8,2,0.06870229,0.305343511,0.091666666,0.240506329,0.175,0.23076923,0.266666666,0.221823463,,37.47171411,-0.99981064,-11.16181992,1.829915047,-0.486169749
José Godoy,- - -,26,62,0,5,4,0,0.080645161,0.370967741,0.01754386,0.205882352,0.122807017,0.193548387,0.140350877,0.160861535,,-2.103322396,-0.239797403,-7.789008664,0.915134329,-0.487547074
Gavin Sheets,CHW,284,892,36,80,127,0,0.075112107,0.207399103,0.177121771,0.254180602,0.231242312,0.292600896,0.408364083,0.303300407,,92.72082148,-4.662839658,-12.35578483,-22.18993998,-0.488929571
Will Craig,PIT,18,65,1,5,3,0,0.076923076,0.338461538,0.083333334,0.324324324,0.216666666,0.276923076,0.3,0.250738099,,52.01729655,-0.247915281,-4.218431193,-2.868720055,-0.4913589
Adam Haseley,- - -,51,85,0,12,4,1,0.070588235,0.223529411,0.038461539,0.288135593,0.217948717,0.273809523,0.256410256,0.240868175,,49.32087036,0.187384519,-5.072911233,-2.70073434,-0.49613005
Andrew Vaughn,CHW,401,1591,52,180,199,1,0.065367693,0.196731615,0.16563147,0.291058394,0.256038647,0.314896291,0.421670117,0.319463532,,103.5454733,-12.51999328,-6.351881717,-51.50944924,-0.503452299
Matt Beaty,- - -,170,353,7,49,45,2,0.079320113,0.186968838,0.11038961,0.280851063,0.237012987,0.33427762,0.347402597,0.307321587,,92.86882806,-1.674873424,-4.303529817,-12.34055816,-0.503615194
Cam Gallagher,- - -,118,311,1,16,19,0,0.048231511,0.24437299,0.069444444,0.253521126,0.190972222,0.232026143,0.260416666,0.21868263,,32.99190044,-0.759004418,-25.77730251,10.12447023,-0.505656368
Hoy Park,- - -,68,210,5,23,20,2,0.104761904,0.252380952,0.145251397,0.25,0.201117318,0.291262135,0.346368715,0.279804014,,72.51158587,-0.18193511,-7.38418739,-4.541396032,-0.509176428
Jake Alu,WSN,41,143,1,9,12,4,0.041958041,0.258741258,0.030075188,0.291666666,0.218045112,0.26056338,0.2481203,0.230266423,,39.21081068,0.307875659,-10.47647889,0.503497988,-0.509423588
Travis Demeritte,ATL,26,96,3,9,6,0,0.0625,0.333333333,0.123595505,0.29090909,0.213483146,0.260416666,0.337078651,0.26297227,,65.36969064,-1.382781556,-5.245330025,-2.913339972,-0.51593067
Luken Baker,STL,21,55,1,4,4,0,0.054545454,0.381818181,0.076923077,0.333333333,0.211538461,0.254545454,0.288461538,0.241356503,,49.67991766,-1.192313746,-4.625803855,-2.432689905,-0.516777563
Chuckie Robinson,CIN,25,60,2,3,5,0,0,0.283333333,0.13559322,0.15,0.13559322,0.13559322,0.27118644,0.172921423,,-0.371631854,-1.116556345,-8.11350317,1.138899982,-0.519370445
