Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
Phil Maton,- - -,10,5,1,195,1,194,10.53092944,3.711340772,1.020618712,0.303719008,0.72439634,0.4008016,0.11111111,91.39748457,3.94329957,,3.890415199,4.087224889,1.013055108
Brett Martin,TEX,5,11,3,121,1,112.1,6.569734574,2.563798858,0.721068429,0.305949008,0.66715543,0.54494382,0.0989011,93.89626072,3.605342144,,3.58059664,3.864690941,1.007027686
Ryan Feltner,COL,6,13,0,30,29,139,7.964029597,4.208633527,1.35971237,0.309756098,0.64533054,0.40697674,0.12650602,94.36403277,6.086331562,,4.900721842,4.774270182,1.006747443
Tejay Antone,CIN,2,0,3,28,1,39.1,11.2118664,3.432204,0.6864408,0.215189873,0.85798817,0.5,0.125,96.86180482,2.0593224,,3.055850048,3.135559024,0.999564081
Gregory Santos,- - -,2,4,5,65,0,72,8.875001646,2.75000051,0.625000116,0.333333333,0.69072165,0.53181818,0.10204082,98.65571032,4.000000742,,3.30537136,3.53435542,0.988733632
Trevor Megill,- - -,6,5,0,95,1,100.1,11.39202867,2.960133434,1.166113171,0.387218045,0.65769806,0.40072202,0.125,97.91990329,5.11295775,,3.401771045,3.39289743,0.977879528
Javier Assad,CHC,5,5,0,36,17,133.1,6.817500455,3.915000261,1.012500068,0.267015707,0.82580645,0.44670051,0.10869565,93.12015768,3.105000207,,4.493179397,4.686548923,0.97416405
Jake McGee,- - -,4,5,34,104,0,96.2,7.727586944,2.048276057,1.210344943,0.255319149,0.60572687,0.32191781,0.08965517,94.73092726,4.282759029,,3.923848176,4.616465668,0.966951072
Sam Moll,- - -,3,4,1,127,1,111.1,9.538925533,4.365271007,0.646706816,0.269896194,0.78125,0.49659864,0.07843137,94.21950408,3.152695727,,3.786931807,4.321791467,0.966187058
Luis Severino,NYY,12,11,0,42,37,197.1,9.076013747,2.964527103,1.687500043,0.281425891,0.72312084,0.43161634,0.1712963,96.43725314,4.652027147,,4.741714615,4.03173825,0.966104008
Ian Hamilton,- - -,2,2,2,37,3,56,10.44642964,3.857143251,0.482142906,0.28030303,0.79288026,0.54814815,0.10344828,96.10905688,2.410714532,,3.020654222,3.174071899,0.963530373
Jimmy Nelson,LAD,1,2,0,28,1,29,13.65517421,4.034483289,0,0.254545455,0.74193548,0.37037037,0,93.9582905,1.86206921,,1.894171886,3.415173919,0.96053436
Ryne Nelson,ARI,8,9,0,30,30,156.2,6.14680876,2.872340542,1.493617082,0.291322314,0.69933921,0.35573123,0.11403509,94.36479835,5.055319354,,5.010653474,5.235310869,0.957243711
Zack Littell,- - -,10,9,3,128,15,189,8.047620185,2.1904765,1.333333522,0.28358209,0.75078206,0.43727599,0.13023256,94.57723887,3.952381511,,4.143040125,4.086133574,0.94661258
Ryan Walker,SFG,4,3,1,44,12,55.2,11.15569104,3.395210318,0.808383409,0.354609929,0.83098592,0.40277778,0.10204082,,2.586826909,,3.187959104,3.481163056,0.946096256
Anthony Bass,- - -,7,12,0,165,1,151.2,8.901100618,3.145055552,1.186813416,0.264483627,0.79084967,0.41826923,0.13157895,95.16264826,2.907692868,,3.999116963,3.907986959,0.937896906
