Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
John Gant,- - -,5,11,0,39,21,110,7.527273315,5.809091362,0.818181882,0.272435897,0.73417722,0.46984127,0.10869565,92.38826277,4.09090941,,4.779125157,5.072955322,0.538411908
Steve Cishek,- - -,1,6,1,143,0,134.2,9.222774541,4.544555571,0.868812094,0.285714286,0.74537541,0.45753425,0.09923664,89.51155114,3.809406876,,4.285224944,4.607412539,0.536465853
Chris Rodriguez,LAA,2,1,0,15,2,29.2,8.797754129,4.55056248,0,0.325581395,0.70212766,0.54651163,0,94.82795207,3.640449984,,3.136326252,4.325784044,0.531640127
Steven Okert,MIA,11,7,0,153,2,141.2,10.73647318,3.938824478,1.270588541,0.252307692,0.79865772,0.29464286,0.12048193,93.41707866,3.367059635,,4.221242534,4.293362482,0.530686662
Seth Martinez,HOU,3,4,1,67,0,84.2,9.141733382,3.826772113,0.850393803,0.296943231,0.69573284,0.39055794,0.08602151,91.39812012,4.145669789,,3.909797297,4.420451621,0.529635729
Erasmo Ramírez,- - -,8,6,0,111,4,165.2,6.193159441,1.6297788,1.14084516,0.292069632,0.69550931,0.43902439,0.109375,93.17943858,4.291750841,,4.164533666,4.36734949,0.524044991
Tom Cosgrove,SDP,1,2,0,47,0,46,8.021741126,2.934783339,0.586956668,0.205128205,0.86448598,0.38135593,0.05454545,92.09921542,1.565217781,,3.629380716,4.765890569,0.523230612
Andre Pallante,STL,10,6,0,105,10,171,6.052632389,3.526316261,0.78947379,0.313432836,0.76824034,0.69525547,0.18987342,95.6775746,3.842105777,,4.207666325,3.772194446,0.521497678
Nick Sandlin,CLE,11,8,0,136,0,133,9.947370704,4.330828061,1.015037827,0.220779221,0.74814815,0.46875,0.12195122,93.21826372,3.045113481,,4.090585911,4.136274888,0.519565433
Trevor May,- - -,13,7,24,139,0,130,10.17692412,4.223077357,1.246153974,0.290801187,0.74935401,0.32857143,0.1097561,96.07804308,3.876923475,,4.203577788,4.512986682,0.514846906
Dinelson Lamet,- - -,4,10,0,71,13,107,11.27102924,5.383178146,1.429906695,0.366548043,0.63397129,0.38644068,0.1440678,95.37727274,6.813084841,,4.727244085,4.488376825,0.513532974
Drey Jameson,ARI,6,1,1,19,7,65,8.446154342,3.461538665,1.107692373,0.295454545,0.89709763,0.49456522,0.13333333,96.45763691,2.630769385,,4.173871558,4.067225032,0.491638198
Abner Uribe,MIL,1,0,1,27,0,26,10.73077081,5.538462351,0,0.224137931,0.8,0.50877193,0,100.9007091,1.384615588,,2.836738422,3.858046994,0.490472555
Zach Pop,- - -,6,1,0,100,0,107.1,7.546585214,2.850932192,0.754658521,0.306962025,0.70596798,0.55172414,0.11111111,94.9632303,3.940994501,,3.803392831,3.953734964,0.488901004
Andrew Wantz,LAA,4,1,0,86,2,110,9.572728767,3.600000562,1.309091113,0.243542435,0.74817518,0.30526316,0.10810811,93.77212306,3.763636951,,4.297339489,4.564475576,0.487825762
Austin Warren,LAA,6,0,1,32,0,38,7.342106553,2.368421469,0.947368587,0.289473684,0.75471698,0.44347826,0.08695652,93.9131294,3.552632203,,3.754981216,4.334734598,0.481172614
J.A. Happ,- - -,10,8,0,30,30,152.1,7.207877702,2.835886309,1.772428943,0.314102564,0.68817204,0.3495935,0.1369863,91.22408736,5.789934548,,5.132835063,5.109171862,0.463546037
Ben Lively,CIN,4,7,0,16,12,81,8.111111493,2.111111211,2.111111211,0.291845494,0.75242718,0.38247012,0.18446602,90.93557881,5.222222468,,5.321543899,4.382549992,0.462211654
Génesis Cabrera,- - -,10,8,1,167,0,167.2,8.803183151,4.294235683,1.019880975,0.263513514,0.72355289,0.41703057,0.10734463,97.01495823,4.079523899,,4.32819824,4.596958238,0.459302559
Drew Pomeranz,SDP,1,0,0,27,0,25.2,10.51948156,3.506493854,0.701298771,0.283333333,0.8778626,0.4516129,0.125,93.97094425,1.753246927,,3.014189951,3.101065052,0.455298603
Keaton Winn,SFG,1,2,1,8,4,37,7.297297297,1.945945946,0.72972973,0.257142857,0.68783069,0.5631068,0.09677419,96.04811957,3.891891892,,3.665220812,4.001664373,0.45093897
Austin Cox,KCR,0,1,1,24,3,35.2,8.327104288,4.289720391,0.504672987,0.273684211,0.61085973,0.36458333,0.05263158,91.60528456,4.542056884,,3.736451006,4.77567909,0.449916758
Victor González,LAD,5,4,1,77,2,68,8.205884899,3.838236485,0.661764911,0.291891892,0.74712644,0.54545455,0.11627907,,3.838236485,,3.88963515,4.014027024,0.448521249
Jackson Stephens,ATL,3,3,2,41,1,60.1,8.353592129,3.878453488,0.596685152,0.291428571,0.6505102,0.46022727,0.08163265,94.05014771,3.430939624,,3.576230436,3.928525414,0.437905547
Dillon Peters,PIT,6,4,0,28,10,66,6.681819051,3.681818661,0.954545579,0.272727273,0.71969697,0.45098039,0.09210526,92.0860221,4.227273277,,4.302371811,4.74873355,0.437511563
Rowan Wick,CHC,4,8,14,86,0,87,10.13793215,4.44827635,1.034482872,0.356846473,0.72440945,0.42105263,0.12658228,94.92477478,4.241379775,,3.920762949,3.839303515,0.435475733
Hayden Wesneski,CHC,5,7,0,36,15,116.1,8.355301362,2.630372651,1.702005833,0.256329114,0.75757576,0.42598187,0.17322835,94.22664074,4.100286779,,4.851245144,4.149118581,0.433826057
Ryan Pepiot,LAD,5,1,0,14,10,63.1,9.094737025,4.121052714,1.278947394,0.21192053,0.86538462,0.33544304,0.1125,93.9277727,2.84210532,,4.612105436,4.719588424,0.432657953
Robert Garcia,- - -,1,2,0,21,0,27.1,9.548781942,3.621951771,0.987805028,0.279411765,0.59027778,0.49253731,0.14285714,94.05566698,4.280488457,,3.772010607,3.62025997,0.412410924
Jesse Scholtens,CHW,1,9,1,25,11,83,6.180723176,3.036144718,1.409638619,0.307984791,0.71564885,0.41818182,0.11818182,92.9183055,4.771084557,,4.970658859,5.134018872,0.410434037
Austin Adams,- - -,4,3,0,91,0,72.1,12.44239965,5.723503839,0.248847993,0.272727273,0.67986231,0.36363636,0.03125,93.94866515,4.354839877,,3.894759679,5.070344268,0.410091618
Joan Adon,WSN,3,14,0,24,22,108,8.083333547,4.833333461,1.250000033,0.328220859,0.65088757,0.44642857,0.12820513,94.91622594,6.500000172,,5.065281276,4.945758481,0.409233164
Francisco Pérez,- - -,1,2,0,27,1,29.2,7.88764214,4.853933625,0.606741703,0.35106383,0.67073171,0.40625,0.05263158,93.102946,5.460675328,,4.039280525,5.245443131,0.409058992
Packy Naughton,- - -,0,6,1,37,8,59.2,7.240224814,3.318436373,0.905028102,0.329787234,0.68181818,0.51041667,0.11538462,92.05344988,4.977654559,,4.051692504,4.129270983,0.402086142
Conner Greene,- - -,1,3,0,24,1,25.1,9.236844655,4.263159072,0.355263256,0.392405063,0.59210526,0.37974684,0.03030303,95.81854958,7.105265119,,3.406876293,5.192032714,0.399481647
Reiver Sanmartin,CIN,7,4,0,61,6,82.2,7.729840553,4.463710742,1.088709937,0.338645418,0.63934426,0.53488372,0.13157895,90.78142763,5.770162666,,4.488262993,4.338309158,0.396747939
Deolis Guerra,OAK,4,1,0,53,0,65.2,8.497463245,2.741117176,1.09644687,0.257142857,0.65349544,0.34254144,0.08888889,90.78702019,4.111675764,,3.961912418,4.796317492,0.396206409
Tommy Kahnle,- - -,1,3,3,54,0,52.2,10.5949376,3.075949627,1.196202633,0.210526316,0.85648148,0.5210084,0.16666667,95.49614194,2.392405265,,3.850950855,3.422776812,0.385729507
Xzavion Curry,CLE,3,5,0,39,11,96,6.093750424,3.000000209,1.125000078,0.294701987,0.72147651,0.31730769,0.08571429,92.72722223,4.218750293,,4.610069795,5.379216422,0.382123642
Sawyer Gipson-Long,DET,1,0,0,2,2,10,14.4,2.7,0.9,0.263157895,0.78947368,0.3,0.11111111,94.19959852,2.7,,2.259815407,2.453478974,0.380808741
Archie Bradley,- - -,7,4,4,78,0,77,7.246754952,3.74026062,0.935065155,0.310638298,0.66162571,0.54132231,0.11764706,94.03789324,4.675325776,,4.307477743,4.446041079,0.378880776
Hunter Strickland,- - -,6,5,7,123,0,121,8.776860473,4.090909542,1.190082776,0.277439024,0.76043069,0.34502924,0.1038961,95.11622446,3.793388848,,4.495731837,4.839205719,0.37489959
Brad Wieck,CHC,0,0,0,15,0,17,14.82353107,5.294118241,0,0.303030303,1,0.3030303,0,92.70828346,0,,1.640622186,3.093626453,0.373921901
Anthony Misiewicz,- - -,8,7,0,109,0,94.2,8.366199602,2.947183951,1.23591585,0.329749104,0.68181818,0.39100346,0.11607143,94.05895754,5.038733851,,4.102961544,4.272359379,0.370932052
Austin Davis,- - -,3,3,0,81,3,82.1,10.05668276,4.919029613,0.983805923,0.31441048,0.63651591,0.36752137,0.09473684,94.03513579,5.574900228,,4.175389354,4.55558658,0.363683363
Cody Bradford,TEX,4,2,0,18,7,50.1,8.225166082,2.1456955,1.609271625,0.276595745,0.7231405,0.32432432,0.12857143,90.16398707,4.649006916,,4.531338666,4.514924751,0.361381605
Mason Thompson,- - -,6,8,2,106,0,103.1,7.14193722,4.006452587,0.870967954,0.323899371,0.70860927,0.51083591,0.10204082,95.07724423,4.529033359,,4.383847106,4.682442656,0.351821821
Slade Cecconi,ARI,0,1,0,6,4,24.1,6.657535116,1.479452248,1.109589186,0.283783784,0.69767442,0.38157895,0.09375,94.24992471,4.438356744,,4.122829218,4.702611675,0.351577286
Chris Murphy,BOS,1,1,1,16,0,45.1,9.3308834,3.176470945,0.99264717,0.323308271,0.71929825,0.45925926,0.10638298,93.87138045,4.367647549,,3.678933101,3.965751458,0.34820497
Mike Baumann,BAL,11,5,0,74,4,106.2,7.425001239,3.965625662,0.928125155,0.305466238,0.69424965,0.446875,0.09243697,96.0414991,4.640625774,,4.357084246,4.823191014,0.347998381
Emilio Pagán,- - -,13,11,9,187,0,190.2,9.912588735,3.068182227,1.557692515,0.261954262,0.72057206,0.31764706,0.12790698,95.43196307,4.153846708,,4.31416154,4.306996547,0.34423501
Héctor Santiago,SEA,1,1,0,13,1,26.1,10.25316505,3.759493852,0.683544337,0.337837838,0.79545455,0.44736842,0.06896552,91.07494232,3.417721684,,3.132059437,4.08774942,0.340290062
Alec Mills,- - -,6,8,1,40,22,137.2,6.406780134,2.484261685,1.56900738,0.329545455,0.63991323,0.49234136,0.17142857,88.97358704,5.753027059,,5.073705883,4.536157064,0.335951932
José De León,- - -,0,2,0,21,3,35.2,12.616824,4.037383681,1.514018881,0.372093023,0.61728395,0.36956522,0.16216216,93.58800469,6.560748482,,4.194974682,3.785520942,0.330952618
Shelby Miller,- - -,1,2,1,49,1,56.2,9.370589129,5.082353426,0.952941267,0.227941176,0.72327044,0.34751773,0.09677419,93.63786586,4.129412159,,4.368599273,4.820395678,0.330606468
Spencer Patton,- - -,2,2,2,61,0,61.2,8.756758337,3.502703335,1.167567778,0.277777778,0.72271386,0.38235294,0.10958904,93.11890998,4.086487224,,4.186857231,4.515994971,0.328996003
Dauri Moreta,- - -,4,4,2,89,1,93,10.54838937,3.677420148,1.451613216,0.262443439,0.69072165,0.35042735,0.13274336,95.65812638,4.645162292,,4.399827133,4.22916919,0.328047036
Tyler Gilbert,ARI,2,7,0,28,13,91.2,6.28363693,2.749091157,1.374545578,0.254681648,0.69264069,0.36861314,0.125,90.14468698,4.32000039,,4.736345191,4.731808158,0.327686075
Domingo Tapia,- - -,4,2,1,60,0,68.1,6.848781762,5.400001005,0.526829366,0.293532338,0.71713147,0.47058824,0.06060606,97.85144515,4.346342272,,4.305744819,5.140799448,0.327073752
Craig Stammen,SDP,7,5,1,100,5,129,8.23255887,1.604651305,1.534883857,0.28021978,0.81683168,0.53543307,0.19469027,92.62874146,3.488372402,,4.190634782,3.433248701,0.324176639
Víctor Arano,WSN,1,1,1,43,0,42,9.428573141,2.571429039,1.071428766,0.344262295,0.58928571,0.51587302,0.13513514,94.42024954,4.500000817,,3.707669205,3.464185064,0.322147518
José Soriano,LAA,1,3,0,34,0,38,11.84210645,5.447368968,0.710526387,0.306818182,0.69343066,0.51111111,0.12,98.74063887,3.789474065,,3.944026002,4.009569552,0.321157992
Shintaro Fujinami,- - -,7,8,2,59,7,75.2,9.753305768,4.876652884,1.070484779,0.301507538,0.54597701,0.39903846,0.10344828,98.5666789,6.898679689,,4.54175397,4.903703087,0.320868373
Derek Holland,DET,3,2,0,39,1,49.2,9.241612276,3.624161677,1.087248503,0.353741497,0.7082153,0.45394737,0.12244898,93.16096968,5.073826348,,3.955269152,4.125478796,0.319312669
Bryse Wilson,- - -,12,16,3,89,36,260.2,6.318414754,2.554987387,1.484654833,0.285185185,0.70046698,0.40095465,0.13564669,93.17172274,4.695652495,,4.899107296,4.717829843,0.312911748
Steven Brault,- - -,0,3,0,16,7,36.2,6.627273359,4.172727671,0.736363707,0.324786325,0.68100358,0.43589744,0.06521739,91.01343093,5.154545946,,4.301349832,5.358242983,0.310966149
Art Warren,CIN,5,3,3,65,0,57,11.68421287,4.736843056,1.10526338,0.308270677,0.68820225,0.36956522,0.12068966,94.1821661,4.578948288,,3.870495458,3.865044609,0.309361041
Jarlín García,SFG,7,7,2,116,0,133.2,8.349128294,2.423940472,1.279301916,0.24929972,0.72259136,0.3972973,0.12418301,93.42369235,3.16458895,,4.009853169,3.996686373,0.304773338
Manny Bañuelos,- - -,2,1,1,35,0,41,9.219513696,4.609756848,0.439024462,0.280373832,0.62030075,0.54205607,0.0625,93.84614258,4.390244617,,3.453894472,3.975158482,0.302731834
Jhony Brito,NYY,8,7,0,22,13,81.2,6.832653593,2.975510436,1.432653173,0.272340426,0.6981982,0.43902439,0.13265306,95.9666534,4.518367699,,4.91287676,4.835040422,0.301973075
Carl Edwards Jr.,- - -,7,6,4,96,0,99.1,7.791947159,4.077181653,1.087248441,0.285211268,0.78733766,0.45945946,0.11538462,94.26654631,3.533557433,,4.421091444,4.483266437,0.301142745
Sam Coonrod,- - -,2,2,2,64,2,61.2,9.63243417,4.378379168,0.875675834,0.311377246,0.63926941,0.53179191,0.125,97.92185585,5.400000974,,4.14088136,4.184393836,0.300198466
Lane Ramsey,CHW,1,0,0,18,0,17.2,8.15094457,3.056604214,0.509434036,0.351851852,0.69105691,0.2962963,0.03846154,94.83718915,4.58490632,,3.203211625,4.909831541,0.30016011
Shane Baz,TBR,3,2,0,9,9,40.1,10.71074465,2.677686161,1.785124108,0.257731959,0.8045977,0.42857143,0.20512821,96.43289174,4.016529242,,4.296762703,3.24121664,0.296603553
Tristan Beck,SFG,3,3,2,31,2,75.2,7.37444968,2.378854735,1.070484631,0.285714286,0.7038835,0.41810345,0.1,94.47589709,4.04405305,,4.039551126,4.467300353,0.296400897
Amir Garrett,- - -,3,6,7,150,0,117.1,10.58523031,6.213069966,0.997159377,0.29020979,0.67765568,0.45733788,0.11926606,94.66391353,5.062501454,,4.453329978,4.52896166,0.295542892
Sean Reid-Foley,NYM,2,2,0,27,0,38.1,11.73913228,5.165218205,0.939130583,0.311827957,0.63492063,0.40625,0.1025641,94.87653944,4.930435559,,3.720789651,4.044666599,0.295094602
Elvis Peguero,- - -,4,6,1,75,0,81,7.333334887,3.777778578,0.888889077,0.30472103,0.65543071,0.5375,0.12307692,96.10991211,4.77777879,,4.32445573,4.335428164,0.292601466
Pedro Avila,SDP,2,3,0,15,6,50.2,9.7697377,4.796053053,0.888157973,0.296296296,0.72857143,0.53676471,0.14705882,93.9164658,3.375000296,,4.247670834,4.07612734,0.291553874
Tommy Henry,ARI,8,8,0,26,25,136,6.617647198,3.705882431,1.455882384,0.27680798,0.76271186,0.37320574,0.12154696,90.97880707,4.566176567,,5.230939955,5.259000173,0.288216362
Tanner Banks,CHW,2,3,1,63,3,109.1,7.902439668,2.716463636,1.234756198,0.264026403,0.70535714,0.40506329,0.12396694,92.92847836,3.786585674,,4.258491955,4.237896344,0.287624463
Tony Santillan,CIN,2,4,4,50,4,66.1,10.58291615,5.15577966,1.085427297,0.313609467,0.8097166,0.31578947,0.11428571,95.58665245,3.663317127,,4.589628453,4.780472326,0.286203079
Kyle Funkhouser,DET,7,4,1,57,2,68.1,8.297562635,5.00487905,0.790244061,0.276595745,0.73951435,0.53157895,0.10714286,95.98239968,3.424390929,,4.267595318,4.572048243,0.284046307
Chris Ellis,- - -,1,0,0,9,8,33.2,6.683168632,5.346534906,0.801980236,0.242105263,0.82589286,0.30927835,0.07317073,93.69860297,3.207920944,,4.885392218,5.833477914,0.280433804
Andrew Vasquez,- - -,2,1,0,52,0,56,8.517859246,4.17857246,0.803571627,0.296296296,0.74074074,0.4601227,0.09259259,89.17110856,3.85714381,,4.37719128,4.797624836,0.273609526
Dany Jiménez,OAK,3,5,12,53,1,52,7.96153963,4.846154557,0.865384742,0.179104478,0.68,0.37681159,0.07352941,93.7664589,3.461538969,,4.258657916,5.037601349,0.273328904
Nick Robertson,- - -,0,1,0,16,1,19.1,10.70689726,3.724138176,0.931034544,0.403508772,0.62913907,0.48275862,0.10526316,95.07112996,5.120689992,,3.466711972,3.752896346,0.271498695
Angel Perdomo,- - -,4,2,0,49,0,46,14.08696003,5.28261001,1.369565558,0.305882353,0.70652174,0.36363636,0.16666667,94.09016315,4.695653342,,4.161418207,3.73489799,0.270463288
Juan Minaya,MIN,3,1,0,35,0,49.2,9.785235025,4.5302014,0.724832224,0.25,0.79124579,0.52380952,0.1,95.00261844,3.080536952,,3.843386545,4.171625675,0.269207828
Huascar Brazoban,MIA,5,3,0,75,0,88.2,10.1503782,5.278196662,0.812030256,0.311111111,0.76121795,0.51091703,0.11594203,97.02493051,3.857143715,,4.086323484,4.154362453,0.26754567
Beau Brieske,DET,4,9,2,37,16,111,6.486486821,2.756756899,1.459459535,0.258258258,0.76449912,0.38904899,0.12328767,94.98944061,4.135135348,,4.763992127,4.657944045,0.267201625
Julio Teheran,- - -,3,5,0,12,12,67.2,6.251231762,1.862069035,1.729064104,0.260204082,0.73667712,0.40384615,0.14942529,89.30261159,4.522167658,,5.159585334,4.805140402,0.266479583
Ron Marinaccio,NYY,5,5,2,85,0,91.1,11.03649881,5.025548565,0.788321343,0.242574257,0.77413479,0.4,0.08602151,94.22238144,3.054745206,,3.977134047,4.443964738,0.263805076
Jose Hernandez,PIT,0,1,0,44,0,45.2,11.43065948,3.744526382,1.379562351,0.279279279,0.72614108,0.4017094,0.15217391,94.77443695,4.138687053,,4.026238935,3.705278379,0.2635566
Luis F. Ortiz,- - -,0,0,1,19,0,26.2,6.750000885,2.700000354,0.337500044,0.320987654,0.80357143,0.48148148,0.03846154,95.14566243,2.700000354,,3.099415463,4.16282984,0.263492838
Konnor Pilkington,CLE,1,2,0,16,11,60,7.800000496,4.950000315,0.900000057,0.277456647,0.73200993,0.3988764,0.08571429,92.2217138,3.750000238,,4.434010566,4.870071071,0.263419786
Tyler Duffey,MIN,5,7,5,104,0,106.1,8.463951159,3.639498998,1.015674139,0.288256228,0.73649755,0.45360825,0.13636364,92.50425945,3.893417533,,4.030211023,3.932481678,0.261634588
José Ureña,- - -,7,22,0,54,42,226.1,5.964654364,4.016200605,1.47128141,0.31284153,0.66002491,0.5,0.16157205,95.04446107,5.805596914,,5.374686256,4.898195085,0.26145604
Emmet Sheehan,LAD,3,1,1,11,9,49.2,8.154362834,3.986577385,1.630872567,0.244274809,0.6547619,0.32142857,0.11842105,95.45347755,5.436241889,,5.132298724,5.316156253,0.256551694
George Soriano,MIA,0,0,1,23,1,47,8.808511353,3.829787545,0.765957509,0.264,0.76241135,0.42635659,0.08333333,94.67746804,3.063830036,,4.004496318,4.593050769,0.255885307
Vladimir Gutierrez,CIN,10,12,0,32,30,150.2,6.988938083,4.181415947,1.672566379,0.295555556,0.73835481,0.40899358,0.14213198,93.26959734,5.435840731,,5.611767887,5.395341473,0.243346095
Jay Jackson,- - -,5,2,0,48,1,49.2,9.785236909,3.624161818,1.268456636,0.220338983,0.83333333,0.34710744,0.11864407,93.97611508,2.899329455,,4.082464438,4.269361776,0.243229397
José Butto,NYM,1,2,0,7,5,30,8.400000267,6.000000191,0.900000029,0.302325581,0.71428571,0.42045455,0.08823529,94.28973581,5.100000162,,4.673497531,5.206605417,0.241746277
Michael Tonkin,ATL,6,2,1,41,0,72,8.625000914,2.375000252,1.375000146,0.239361702,0.69805195,0.3857868,0.12941176,,3.875000411,,4.204259951,4.177429751,0.237574905
Blake Parker,CLE,2,1,0,47,0,43.2,7.625955309,2.885496603,1.030534501,0.299212598,0.84615385,0.38636364,0.09615385,90.93748802,3.091603504,,4.063164023,4.67568695,0.235572517
Brandon Bielak,HOU,8,10,1,48,15,142.1,7.587822489,3.857143098,1.201405227,0.304347826,0.73529412,0.48130841,0.13286713,93.43823649,4.046838661,,4.78225013,4.730716295,0.228725938
Luis Medina,OAK,3,9,0,21,15,98.2,8.847973543,4.834459771,1.277027109,0.310469314,0.66239316,0.44482759,0.14285714,96.20306801,5.564189548,,4.962518219,4.766336107,0.227937587
Ryan Sherriff,- - -,0,1,1,21,0,21.1,8.859377112,4.640626106,0,0.3125,0.63888889,0.41269841,0,,4.640626106,,3.479340841,5.420063221,0.227100968
Wyatt Mills,- - -,0,1,0,38,0,42,7.928573229,4.285715259,0.428571526,0.338582677,0.61583578,0.453125,0.05405405,92.62687922,6.214287125,,3.844089248,4.5832706,0.225983081
Phoenix Sanders,TBR,0,0,0,8,0,14.2,7.363636683,1.840909171,0,0.285714286,0.66666667,0.41463415,0,89.76415111,3.068181951,,2.089703685,3.704652195,0.225197494
César Valdez,- - -,2,2,8,40,0,47,8.617022675,2.680851499,1.531915142,0.380952381,0.66371681,0.49032258,0.2,85.42955556,5.936171176,,4.424127877,3.712946592,0.223276969
Yerry Rodríguez,TEX,0,1,0,14,1,14.2,9.818182882,3.681818581,0.61363643,0.425531915,0.5859375,0.3125,0.05,97.24151686,7.363637162,,3.181584643,4.546125719,0.216847982
Bowden Francis,TOR,1,0,1,21,0,37,8.756758125,1.94594625,1.216216406,0.202247191,1,0.35483871,0.10869565,94.30352772,1.702702969,,3.797700459,4.104262792,0.216745622
Richard Lovelady,- - -,2,3,1,47,0,44,9.613639281,3.272728266,1.2272731,0.23364486,0.68075117,0.51785714,0.15384615,92.09542474,4.090910332,,4.217645713,3.951656095,0.216095837
John Curtiss,- - -,3,1,0,56,2,64,8.437501634,2.812500545,1.265625245,0.280898876,0.72700297,0.40322581,0.125,94.66312206,3.796875736,,4.135123346,4.250993284,0.212674987
Mychal Givens,- - -,11,7,10,119,1,116.1,9.825216376,4.487106692,1.160458627,0.303448276,0.77027027,0.40131579,0.13761468,94.08184329,3.636103698,,4.337594191,4.17112788,0.210915102
Yerry De Los Santos,PIT,1,4,3,48,0,50,7.920001511,4.320000824,0.720000137,0.246478873,0.62289562,0.53846154,0.08888889,95.18585815,4.14000079,,4.024158238,4.388193484,0.210610799
Drew Hutchison,DET,6,10,0,37,20,126.2,5.5421055,3.765789634,1.136842154,0.290640394,0.72028812,0.41826923,0.10126582,92.61841298,4.121052807,,4.835290547,5.098044584,0.209545612
Alex Reyes,STL,10,8,29,69,0,72.1,11.82027733,6.470046538,1.119815747,0.232704403,0.77803204,0.36969697,0.12328767,96.94702888,3.235023269,,4.400448956,4.563560975,0.207276061
Jordan Sheffield,COL,0,0,0,32,0,31.1,6.031915506,4.308511075,0.574468143,0.226190476,0.76704545,0.45348837,0.06060606,96.39064372,3.159574789,,4.283378717,5.302739165,0.203823218
Louis Head,- - -,2,0,1,55,2,63.2,8.19895419,3.392670699,0.848167675,0.267045455,0.71801567,0.3,0.06315789,93.81959316,4.099477095,,4.05509255,5.275302813,0.203224096
Jake Cousins,MIL,3,1,0,51,0,52.2,12.30379918,6.322785688,0.854430498,0.28440367,0.84722222,0.50442478,0.13513514,95.24002202,3.075949794,,4.120728879,4.056813662,0.19996129
Rob Zastryzny,- - -,1,0,0,27,1,24.2,6.56757034,5.108110264,0.364865019,0.325,0.55555556,0.39240506,0.03125,92.88999598,5.108110264,,4.006185831,5.595852206,0.199445989
Carmen Mlodzinski,PIT,3,3,0,29,1,31,8.419356652,4.064517004,0.870967929,0.243902439,0.76923077,0.48235294,0.11538462,95.7015336,2.032258502,,4.098525265,4.232405321,0.198046015
Joel Kuhnel,- - -,2,3,1,62,0,71,7.478874244,2.408451028,1.267605804,0.333333333,0.62765957,0.53303965,0.15384615,95.82453582,6.21126844,,4.364769156,3.919347865,0.195982092
Isaiah Campbell,SEA,4,1,0,22,0,23,10.56522002,3.913044452,0.78260889,0.322033898,0.78767123,0.40983607,0.08695652,95.02970591,3.521740007,,3.477206765,4.0063983,0.195829302
Brendan White,DET,2,3,0,33,2,40.2,9.737706669,3.319672728,0.885246061,0.330275229,0.64338235,0.51785714,0.125,94.41468833,5.09016485,,3.849979447,3.877226287,0.192906177
Miguel Castro,- - -,14,10,7,173,2,159.2,9.131525899,4.622130393,0.958246545,0.259708738,0.72233607,0.47529412,0.12142857,97.12949829,4.002088511,,4.33337244,4.413110197,0.19133191
Brett Kennedy,CIN,1,0,0,5,2,18,4.5,3.5,0.5,0.285714286,0.57971014,0.3968254,0.03846154,92.85293827,6.5,,4.648704296,6.323719898,0.187535975
Kodi Whitley,STL,2,0,0,39,0,38,9.23684396,4.973685209,0.710526458,0.242105263,0.73660714,0.39795918,0.075,93.84016208,3.552632292,,3.940306925,4.666585675,0.183179095
Denyi Reyes,- - -,0,2,0,11,4,25,6.480000742,2.88000033,1.080000124,0.307692308,0.6918239,0.40740741,0.09677419,92.353427,5.040000577,,4.414617658,4.840851465,0.182712227
Angel Felipe,OAK,1,1,0,14,0,15,11.40000217,7.800001488,0,0.193548387,0.65,0.53333333,0,95.44666206,4.200000801,,3.526482124,4.632899793,0.181189075
James Norwood,- - -,1,0,0,25,0,22.1,10.07462873,4.83582179,0.805970298,0.405797101,0.6377551,0.36619718,0.08333333,96.97289941,6.447762387,,3.662640755,4.152886934,0.179800391
Josh Winder,MIN,6,7,1,32,11,98,6.704081828,2.846938859,1.285714323,0.285714286,0.71678322,0.37012987,0.1037037,94.31758836,4.591836869,,4.628440396,4.87826051,0.179645061
Kyle Crick,- - -,3,1,0,41,0,40,9.000001717,6.750001287,0,0.25,0.6557377,0.35106383,0,92.7684305,4.275000815,,3.922473047,5.307073885,0.176037993
Kyle Muller,- - -,4,10,0,29,24,120.1,7.628809126,4.861496012,1.346260434,0.33423913,0.66200215,0.41315789,0.13043478,93.63234179,6.581717678,,5.211812252,5.188926047,0.17567562
Darius Vines,ATL,1,0,0,3,1,11,6.545454545,1.636363636,0.818181818,0.21875,0.72916667,0.45454545,0.07142857,90.12702743,3.272727273,,3.805269952,4.73570328,0.175362915
Andrew Nardi,MIA,8,2,2,70,0,66.1,12.21105762,4.477387793,1.628141016,0.337579618,0.79572447,0.35329341,0.17391304,94.56623154,4.341709375,,4.493559801,3.80599134,0.174409926
Jacob Webb,- - -,6,5,2,83,0,83.2,9.250997562,4.410359303,1.075697391,0.279279279,0.72815534,0.35371179,0.10752688,94.56106771,3.872510608,,4.334526858,4.675578782,0.17360381
Humberto Castellanos,ARI,5,4,0,25,16,90,6.100000129,2.700000057,1.40000003,0.29787234,0.68222621,0.375,0.12173913,90.06570716,5.300000112,,4.908325956,4.95754892,0.169001423
Dylan Coleman,KCR,5,4,0,96,1,92.2,9.615109266,5.535972002,0.776978527,0.263829787,0.72555205,0.38842975,0.08421053,97.32797624,3.884892633,,4.332577214,4.792256128,0.167859666
Drew Anderson,TEX,1,1,0,9,1,22,3.681818182,2.454545455,0.409090909,0.256756757,0.7421875,0.39189189,0.03125,92.76828962,3.272727273,,3.89730685,5.87274267,0.165512614
